trip_id,trip_date,pickup_hour,vehicle_type,zone,trip_distance_km,trip_duration_min,passenger_count,base_fare,tip_amount,total_fare,payment_type,weather,traffic_level,delay_minutes,is_delayed
TRIP-01061,2024-02-08,1,RideShare,Suburb,12.66,61.8,2,41.36,4.15,45.51,Card,Clear,High,3.1,0
TRIP-01062,2024-04-29,12,Metro,Airport,17.38,47.0,4,20.17,4.91,25.08,Card,Clear,Medium,1.1,0
TRIP-01063,2024-10-30,21,Taxi,Downtown,10.73,54.8,1,50.26,4.47,54.73,Card,Rain,Medium,7.0,1
TRIP-01064,2024-03-18,15,Metro,Airport,15.68,70.7,4,18.37,0.51,18.87,Card,Clear,Medium,2.4,0
TRIP-01065,2024-11-01,13,Taxi,Airport,6.78,28.7,2,37.69,2.17,39.86,Card,Clear,Medium,0.4,0
TRIP-01066,2024-05-17,3,RideShare,Coastal,16.93,83.1,2,63.23,0.29,63.52,Card,Heat,Medium,1.4,0
TRIP-01067,2024-03-11,8,Bus,Suburb,18.71,75.4,19,17.22,1.96,19.17,Mobile,Clear,Low,2.2,0
TRIP-01068,2024-02-24,8,Metro,Downtown,14.44,53.3,2,12.79,4.36,17.15,Card,Fog,Low,7.9,1
TRIP-01069,2024-01-22,4,Taxi,Downtown,10.25,40.5,1,46.63,2.45,49.08,Card,Clear,Low,0.8,0
TRIP-01070,2024-10-08,7,Bus,Downtown,6.54,26.8,25,8.0,0.93,8.93,Card,Clear,Medium,7.7,1
TRIP-01071,2024-01-02,18,RideShare,Coastal,11.19,52.6,2,41.71,2.27,43.98,Mobile,Clear,High,2.2,0
TRIP-01072,2024-01-06,23,Metro,Downtown,15.61,45.9,2,14.79,0.51,15.3,Cash,Clear,Low,0.1,0
TRIP-01073,2024-10-29,19,Bus,Downtown,15.51,84.0,6,22.61,2.41,25.03,Mobile,Clear,High,0.8,0
TRIP-01074,2024-10-05,18,RideShare,Downtown,4.42,14.2,1,18.57,0.61,19.18,Card,Clear,High,0.9,0
TRIP-01075,2024-01-27,20,RideShare,Industrial,8.39,34.4,1,23.19,2.55,25.75,Mobile,Rain,Low,4.3,0
TRIP-01076,2024-01-29,22,Taxi,Suburb,4.48,13.3,2,17.31,4.46,21.78,Card,Clear,Low,0.7,0
TRIP-01077,2024-08-16,10,Bus,Suburb,6.71,21.4,44,7.08,0.63,7.71,Cash,Clear,Medium,1.9,0
TRIP-01078,2024-06-10,14,Bus,Airport,9.44,29.1,40,19.28,1.41,20.69,Card,Clear,Low,2.3,0
TRIP-01079,2024-01-16,7,Metro,Downtown,9.3,58.2,3,9.72,1.03,10.75,Card,Clear,High,0.5,0
TRIP-01080,2024-04-05,16,Taxi,Coastal,4.64,22.0,2,23.62,3.19,26.81,Mobile,Clear,Medium,3.9,0
TRIP-01081,2024-07-02,10,Taxi,Downtown,7.08,33.5,3,32.11,1.28,33.39,Card,Clear,Medium,0.6,0
TRIP-01082,2024-08-20,5,RideShare,Downtown,6.97,31.1,3,26.44,1.25,27.69,Card,Rain,Medium,5.7,1
TRIP-01083,2024-07-23,10,RideShare,Suburb,9.38,41.8,3,28.67,0.53,29.2,Cash,Rain,Low,3.8,0
TRIP-01084,2024-12-18,2,RideShare,Downtown,4.88,18.2,2,20.67,3.31,23.97,Card,Heat,High,3.4,0
TRIP-01085,2024-04-03,21,RideShare,Downtown,23.57,101.1,2,91.97,1.48,93.45,Card,Fog,Medium,8.1,1
TRIP-01086,2024-03-15,13,Metro,Industrial,10.19,30.7,5,6.82,1.54,8.36,Mobile,Clear,Medium,0.5,0
TRIP-01087,2024-09-16,3,Metro,Suburb,9.01,23.8,3,8.07,1.85,9.92,Card,Clear,Medium,9.5,1
TRIP-01088,2024-08-24,17,Metro,Downtown,19.91,72.2,4,19.22,1.98,21.2,Card,Clear,Low,1.8,0
TRIP-01089,2024-10-06,0,Bus,Airport,23.28,80.4,17,34.8,2.59,37.39,Mobile,Rain,High,8.0,1
TRIP-01090,2024-06-29,15,Bus,Industrial,27.85,120.0,41,24.15,1.75,25.9,Card,Clear,Medium,1.5,0
TRIP-01091,2024-08-06,19,Taxi,Downtown,6.38,41.1,1,25.88,4.37,30.25,Card,Clear,High,2.1,0
TRIP-01092,2024-10-11,21,Metro,Downtown,12.47,53.6,2,14.27,3.6,17.87,Card,Heat,High,0.8,0
TRIP-01093,2024-07-22,1,Taxi,Suburb,8.25,21.0,3,32.93,0.19,33.13,Card,Clear,Medium,2.9,0
TRIP-01094,2024-07-20,8,Taxi,Suburb,5.45,23.2,2,20.23,4.05,24.28,Card,Clear,Medium,1.1,0
TRIP-01095,2024-06-10,13,Bus,Coastal,9.58,43.1,7,11.22,1.26,12.48,Cash,Heat,Medium,0.4,0
TRIP-01096,2024-06-20,4,Bus,Airport,15.09,57.5,9,21.0,3.29,24.29,Mobile,Clear,Low,3.2,0
TRIP-01097,2024-05-08,0,Taxi,Downtown,14.83,80.8,3,68.14,1.88,70.02,Cash,Clear,High,2.4,0
TRIP-01098,2024-10-24,3,RideShare,Suburb,5.59,23.8,3,21.74,3.88,25.62,Card,Clear,Medium,7.1,1
TRIP-01099,2024-04-05,4,RideShare,Suburb,23.61,120.0,2,79.19,0.02,79.21,Cash,Clear,High,3.1,0
TRIP-01100,2024-12-14,0,Taxi,Downtown,4.01,9.6,1,18.96,3.36,22.32,Card,Heat,Medium,1.5,0
TRIP-01101,2024-02-23,6,Taxi,Suburb,17.83,88.2,3,64.56,3.41,67.97,Mobile,Rain,Low,7.0,1
TRIP-01102,2024-12-12,13,Taxi,Downtown,2.35,9.8,2,11.64,1.09,12.73,Cash,Clear,Medium,1.4,0
TRIP-01103,2024-12-20,5,Metro,Industrial,10.87,35.4,3,7.92,2.46,10.38,Card,Clear,Low,0.5,0
TRIP-01104,2024-02-09,7,RideShare,Industrial,7.8,22.7,2,23.26,3.31,26.57,Card,Clear,Low,1.8,0
TRIP-01105,2024-09-23,4,Taxi,Airport,13.49,74.0,2,76.46,0.5,76.96,Mobile,Rain,Medium,1.9,0
TRIP-01106,2024-11-28,10,Metro,Coastal,9.32,20.5,4,11.7,1.39,13.1,Cash,Clear,Low,2.8,0
TRIP-01107,2024-03-03,3,Taxi,Coastal,7.98,45.2,3,35.42,0.45,35.87,Mobile,Clear,High,5.3,1
TRIP-01108,2024-08-20,9,Bus,Downtown,20.51,60.2,38,26.32,2.86,29.18,Card,Rain,Medium,10.0,1
TRIP-01109,2024-10-25,5,RideShare,Airport,6.81,26.1,1,33.73,4.07,37.8,Card,Heat,Medium,0.8,0
TRIP-01110,2024-12-08,12,Taxi,Suburb,12.63,40.7,1,48.34,2.52,50.87,Card,Heat,Low,2.1,0
TRIP-01111,2024-11-27,8,Taxi,Downtown,7.17,19.2,3,34.12,3.41,37.54,Card,Fog,Low,7.3,1
TRIP-01112,2024-09-17,10,Bus,Airport,11.94,31.8,8,17.11,1.44,18.54,Card,Clear,Medium,4.4,0
TRIP-01113,2024-03-26,8,Metro,Downtown,9.45,35.6,5,7.33,1.42,8.74,Cash,Fog,Medium,7.5,1
TRIP-01114,2024-03-12,18,RideShare,Coastal,41.51,120.0,2,159.32,2.36,161.68,Card,Heat,Medium,0.9,0
TRIP-01115,2024-12-19,9,RideShare,Airport,9.87,27.7,1,45.68,1.98,47.67,Card,Clear,Medium,2.1,0
TRIP-01116,2024-09-28,9,Taxi,Industrial,11.26,35.1,2,40.65,0.15,40.8,Card,Clear,Low,1.8,0
TRIP-01117,2024-04-13,18,Taxi,Airport,2.17,8.1,3,15.01,0.76,15.77,Cash,Clear,Medium,3.7,0
TRIP-01118,2024-02-22,23,Metro,Downtown,9.85,42.0,1,10.27,0.62,10.89,Card,Heat,Medium,2.9,0
TRIP-01119,2024-01-14,2,Taxi,Coastal,4.47,12.9,1,20.64,2.43,23.07,Card,Heat,Low,1.0,0
TRIP-01120,2024-06-23,11,RideShare,Downtown,5.47,34.4,2,22.56,0.39,22.95,Card,Fog,High,5.0,0
TRIP-01121,2024-06-25,14,Metro,Downtown,13.74,46.7,5,15.36,2.81,18.16,Mobile,Clear,Low,0.2,0
TRIP-01122,2024-02-29,6,Taxi,Airport,4.81,18.3,3,29.3,0.78,30.08,Card,Heat,Low,0.6,0
TRIP-01123,2024-02-28,9,RideShare,Suburb,5.06,23.7,2,14.24,3.11,17.36,Card,Clear,Medium,6.4,1
TRIP-01124,2024-09-16,19,Taxi,Airport,7.11,32.3,1,42.27,1.09,43.36,Cash,Clear,Medium,1.8,0
TRIP-01125,2024-04-01,4,Bus,Downtown,8.55,58.1,42,10.25,3.04,13.3,Mobile,Rain,High,9.0,1
TRIP-01126,2024-05-20,8,Bus,Airport,5.05,33.1,38,6.37,2.32,8.69,Card,Fog,High,3.9,0
TRIP-01127,2024-04-19,1,Bus,Downtown,13.56,56.4,13,14.8,2.3,17.1,Card,Heat,High,1.9,0
TRIP-01128,2024-12-28,11,Metro,Downtown,9.23,23.8,3,9.52,0.66,10.18,Card,Clear,Medium,2.8,0
TRIP-01129,2024-01-02,4,Metro,Suburb,13.21,52.9,5,9.86,0.9,10.77,Cash,Clear,Medium,0.3,0
TRIP-01130,2024-09-18,6,RideShare,Downtown,16.33,54.9,3,64.8,0.13,64.93,Mobile,Clear,Low,0.1,0
TRIP-01131,2024-07-14,4,RideShare,Downtown,6.85,34.0,3,27.11,3.47,30.58,Card,Clear,High,0.1,0
TRIP-01132,2024-12-11,19,Bus,Suburb,20.15,85.5,40,20.38,4.46,24.85,Card,Heat,Medium,1.4,0
TRIP-01133,2024-02-05,7,Taxi,Industrial,10.46,40.1,3,38.52,0.3,38.82,Cash,Clear,Medium,15.7,1
TRIP-01134,2024-12-24,13,Metro,Downtown,9.74,27.3,1,11.41,1.64,13.05,Mobile,Clear,Medium,2.4,0
TRIP-01135,2024-06-27,13,RideShare,Airport,20.15,120.0,3,99.66,3.65,103.31,Mobile,Clear,High,6.0,1
TRIP-01136,2024-11-01,7,Taxi,Downtown,10.08,52.1,1,48.86,3.63,52.49,Mobile,Rain,Medium,2.7,0
TRIP-01137,2024-02-15,16,Bus,Coastal,10.61,25.3,24,11.86,1.46,13.32,Mobile,Heat,Low,2.0,0
TRIP-01138,2024-08-26,17,Bus,Downtown,13.03,65.9,40,14.67,2.3,16.97,Mobile,Clear,High,9.3,1
TRIP-01139,2024-11-25,8,Taxi,Downtown,15.17,62.4,2,69.98,3.69,73.67,Card,Clear,Low,1.6,0
TRIP-01140,2024-08-09,4,Metro,Airport,13.25,73.9,2,15.37,0.01,15.38,Cash,Heat,High,1.3,0
TRIP-01141,2024-02-15,6,Bus,Downtown,9.13,37.4,18,9.08,0.32,9.4,Card,Rain,Medium,7.5,1
TRIP-01142,2024-07-09,9,Metro,Downtown,10.39,64.1,4,9.9,4.88,14.77,Card,Clear,High,4.5,0
TRIP-01143,2024-01-23,7,RideShare,Downtown,8.37,47.5,2,34.18,4.05,38.23,Card,Clear,High,4.8,0
TRIP-01144,2024-04-07,7,RideShare,Suburb,5.12,21.0,1,18.4,0.44,18.84,Cash,Heat,Medium,0.3,0
TRIP-01145,2024-06-25,2,Bus,Suburb,6.72,34.7,5,6.51,0.71,7.22,Cash,Rain,High,3.9,0
TRIP-01146,2024-10-05,18,Taxi,Suburb,4.59,17.4,2,18.95,0.91,19.87,Card,Clear,Low,5.3,1
TRIP-01147,2024-01-10,17,Metro,Industrial,7.59,30.5,3,5.81,1.28,7.09,Cash,Clear,Low,1.3,0
TRIP-01148,2024-04-18,17,RideShare,Airport,12.22,32.1,3,55.83,0.66,56.48,Cash,Clear,Medium,0.1,0
TRIP-01149,2024-07-04,1,Bus,Coastal,15.9,63.8,31,16.33,1.43,17.76,Cash,Clear,Medium,2.9,0
TRIP-01150,2024-04-25,18,RideShare,Industrial,12.07,43.6,2,37.55,2.37,39.92,Card,Clear,Low,2.7,0
TRIP-01151,2024-02-07,10,Taxi,Industrial,2.76,7.1,1,7.12,0.95,8.07,Cash,Clear,Medium,0.8,0
TRIP-01152,2024-09-10,1,RideShare,Industrial,30.45,120.0,2,91.16,1.2,92.36,Cash,Clear,High,2.9,0
TRIP-01153,2024-07-31,3,Taxi,Airport,13.27,79.7,1,72.96,3.56,76.51,Card,Clear,High,2.4,0
TRIP-01154,2024-07-19,15,Taxi,Downtown,8.97,20.6,1,41.14,2.38,43.52,Mobile,Clear,Low,0.9,0
TRIP-01155,2024-02-25,21,Bus,Airport,23.87,97.9,23,35.8,1.79,37.59,Card,Clear,Medium,3.8,0
TRIP-01156,2024-10-22,5,Taxi,Downtown,17.29,52.5,3,77.31,1.31,78.62,Cash,Fog,Low,6.5,1
TRIP-01157,2024-09-06,10,Taxi,Suburb,8.31,21.0,2,32.55,0.77,33.33,Mobile,Clear,Low,5.4,1
TRIP-01158,2024-05-27,23,Taxi,Downtown,3.35,12.0,3,15.49,2.74,18.23,Mobile,Heat,High,6.5,1
TRIP-01159,2024-11-11,6,Bus,Downtown,22.22,120.0,26,24.9,0.83,25.73,Cash,Heat,High,2.5,0
TRIP-01160,2024-08-12,12,Metro,Coastal,13.07,56.3,2,12.41,3.61,16.01,Card,Heat,Low,3.3,0
TRIP-01161,2024-05-21,18,Taxi,Suburb,14.96,49.7,3,55.42,1.88,57.3,Cash,Clear,Low,0.5,0
TRIP-01162,2024-04-03,21,Metro,Suburb,9.56,27.5,4,6.59,4.01,10.6,Card,Clear,Medium,1.0,0
TRIP-01163,2024-03-07,21,RideShare,Airport,15.99,49.5,3,75.83,0.88,76.71,Card,Rain,Medium,3.2,0
TRIP-01164,2024-09-18,13,Taxi,Suburb,1.84,4.4,1,6.94,1.82,8.76,Mobile,Clear,Low,0.1,0
TRIP-01165,2024-12-15,7,Taxi,Coastal,11.0,27.1,2,48.15,2.2,50.35,Mobile,Clear,Low,4.2,0
TRIP-01166,2024-07-01,7,RideShare,Suburb,9.98,36.3,3,31.95,2.63,34.58,Card,Clear,Medium,3.5,0
TRIP-01167,2024-07-17,15,RideShare,Suburb,5.06,25.1,3,16.21,1.68,17.88,Cash,Rain,Low,10.2,1
TRIP-01168,2024-01-08,21,Bus,Suburb,34.91,120.0,35,34.91,0.49,35.41,Mobile,Fog,High,6.3,1
TRIP-01169,2024-02-27,22,RideShare,Airport,11.54,38.1,3,55.76,2.84,58.6,Card,Clear,High,0.5,0
TRIP-01170,2024-10-14,11,Taxi,Suburb,6.76,19.3,3,22.55,1.74,24.29,Mobile,Heat,Medium,1.8,0
TRIP-01171,2024-11-25,16,Bus,Coastal,8.57,40.8,38,9.82,1.29,11.11,Cash,Fog,Medium,11.5,1
TRIP-01172,2024-03-01,0,Metro,Airport,8.84,47.7,1,9.29,1.22,10.51,Card,Clear,High,5.4,1
TRIP-01173,2024-07-30,15,Taxi,Airport,11.66,28.8,1,67.8,3.32,71.12,Mobile,Clear,Low,0.0,0
TRIP-01174,2024-04-01,9,Metro,Airport,13.53,85.6,4,17.08,3.19,20.27,Mobile,Clear,High,3.3,0
TRIP-01175,2024-10-30,19,Bus,Airport,30.36,106.9,20,46.57,2.84,49.4,Card,Heat,Low,1.3,0
TRIP-01176,2024-10-08,22,Metro,Coastal,16.72,92.8,2,14.98,4.05,19.02,Card,Rain,High,8.2,1
TRIP-01177,2024-10-29,17,Bus,Industrial,17.85,80.2,18,18.03,0.19,18.22,Card,Rain,Low,13.9,1
TRIP-01178,2024-03-22,0,Bus,Airport,7.35,36.3,5,9.24,1.16,10.4,Card,Rain,High,6.0,1
TRIP-01179,2024-02-14,19,Taxi,Airport,4.54,16.6,3,25.7,1.42,27.12,Mobile,Clear,Low,3.7,0
TRIP-01180,2024-04-30,3,Taxi,Airport,12.42,80.7,3,69.03,1.09,70.12,Card,Heat,High,2.0,0
TRIP-01181,2024-03-01,8,Metro,Downtown,19.51,95.6,4,20.2,0.96,21.17,Card,Heat,Medium,3.8,0
TRIP-01182,2024-04-16,3,Taxi,Suburb,11.83,28.2,3,47.28,0.7,47.99,Cash,Rain,Low,7.5,1
TRIP-01183,2024-01-14,15,Taxi,Industrial,2.88,9.3,3,10.8,4.66,15.46,Card,Clear,High,6.6,1
TRIP-01184,2024-03-05,14,Taxi,Suburb,0.82,3.0,1,2.0,0.66,2.66,Mobile,Clear,Low,0.1,0
TRIP-01185,2024-04-11,0,Taxi,Downtown,3.48,7.7,3,15.07,1.87,16.94,Cash,Clear,Medium,2.1,0
TRIP-01186,2024-04-12,19,RideShare,Industrial,10.08,39.5,2,35.42,3.93,39.34,Card,Clear,Medium,4.1,0
TRIP-01187,2024-10-20,18,Bus,Industrial,7.94,53.5,12,8.65,0.22,8.87,Mobile,Rain,High,4.2,0
TRIP-01188,2024-04-08,0,RideShare,Downtown,20.92,82.5,2,81.69,1.79,83.49,Card,Fog,High,3.4,0
TRIP-01189,2024-09-13,12,Taxi,Suburb,3.45,8.2,1,14.41,3.78,18.19,Card,Heat,Medium,0.5,0
TRIP-01190,2024-11-26,19,Metro,Suburb,10.37,49.3,3,8.58,0.45,9.03,Card,Clear,High,3.9,0
TRIP-01191,2024-08-16,23,Bus,Industrial,22.53,120.0,33,25.01,2.28,27.28,Card,Clear,High,3.2,0
TRIP-01192,2024-07-24,3,Bus,Downtown,12.03,43.2,24,14.66,0.46,15.12,Cash,Clear,Medium,3.6,0
TRIP-01193,2024-10-03,8,RideShare,Downtown,2.9,14.4,1,11.09,4.41,15.5,Card,Heat,Medium,5.8,1
TRIP-01194,2024-02-20,8,RideShare,Suburb,3.23,15.6,2,10.34,1.75,12.09,Card,Fog,Medium,4.5,0
TRIP-01195,2024-06-26,11,RideShare,Downtown,3.52,9.4,2,13.34,0.85,14.19,Card,Clear,Low,1.0,0
TRIP-01196,2024-10-27,17,Taxi,Airport,11.94,38.8,2,66.65,0.73,67.37,Card,Rain,Medium,5.7,1
TRIP-01197,2024-04-03,20,Taxi,Industrial,7.28,28.4,1,24.3,1.88,26.19,Cash,Rain,Low,3.9,0
TRIP-01198,2024-06-28,22,Metro,Downtown,15.78,65.3,5,14.9,1.79,16.69,Cash,Clear,High,0.5,0
TRIP-01199,2024-01-17,3,Taxi,Suburb,8.67,24.5,3,33.93,1.63,35.56,Cash,Clear,Medium,6.0,1
TRIP-01200,2024-08-13,23,Metro,Coastal,10.54,34.0,3,9.57,0.12,9.69,Cash,Clear,Medium,4.3,0
TRIP-01201,2024-01-22,19,Bus,Suburb,18.02,58.1,20,16.97,3.81,20.78,Card,Clear,Low,0.9,0
TRIP-01202,2024-04-15,5,Bus,Suburb,24.62,117.2,11,22.38,1.06,23.44,Cash,Rain,Low,3.7,0
TRIP-01203,2024-01-07,1,RideShare,Suburb,4.06,25.7,2,14.22,4.36,18.57,Card,Clear,High,1.6,0
TRIP-01204,2024-07-23,23,Metro,Downtown,8.63,40.7,4,10.95,0.44,11.39,Cash,Rain,Medium,4.8,0
TRIP-01205,2024-07-11,9,Taxi,Downtown,10.27,45.1,3,46.18,0.26,46.44,Cash,Rain,High,15.7,1
TRIP-01206,2024-08-24,19,Taxi,Suburb,4.3,14.6,1,15.31,0.92,16.22,Cash,Clear,Medium,3.8,0
TRIP-01207,2024-10-11,17,Metro,Airport,14.45,33.5,3,16.18,2.31,18.49,Card,Heat,Low,0.9,0
TRIP-01208,2024-05-05,11,Bus,Downtown,14.51,53.4,20,18.78,4.59,23.37,Card,Clear,Medium,3.0,0
TRIP-01209,2024-03-24,6,Taxi,Downtown,16.01,71.2,1,75.52,3.39,78.91,Mobile,Rain,Medium,14.7,1
TRIP-01210,2024-11-09,15,Bus,Industrial,27.32,79.5,40,25.77,1.02,26.79,Cash,Clear,Low,2.1,0
TRIP-01211,2024-10-05,15,Metro,Downtown,8.83,28.1,2,6.96,2.74,9.7,Card,Rain,Medium,9.3,1
TRIP-01212,2024-10-21,14,RideShare,Industrial,2.06,8.8,1,6.89,1.31,8.2,Mobile,Clear,Low,0.8,0
TRIP-01213,2024-06-27,15,Bus,Airport,21.78,45.1,18,32.7,4.23,36.93,Card,Clear,Low,3.6,0
TRIP-01214,2024-09-28,21,Bus,Suburb,5.05,18.6,42,5.5,0.87,6.37,Cash,Clear,Low,2.8,0
TRIP-01215,2024-06-10,6,Taxi,Downtown,10.86,49.8,1,48.62,0.5,49.13,Cash,Rain,Medium,3.7,0
TRIP-01216,2024-02-26,9,Bus,Downtown,21.51,90.5,18,24.36,1.5,25.86,Cash,Rain,Medium,6.3,1
TRIP-01217,2024-01-02,6,Taxi,Suburb,24.22,67.3,1,89.1,0.34,89.44,Mobile,Rain,Low,3.6,0
TRIP-01218,2024-05-11,20,Bus,Suburb,13.93,83.1,29,15.52,4.11,19.63,Card,Clear,High,6.3,1
TRIP-01219,2024-05-01,19,Metro,Downtown,8.21,48.3,1,9.91,2.52,12.42,Card,Rain,High,6.7,1
TRIP-01220,2024-01-08,18,Taxi,Airport,8.07,36.8,3,43.34,3.95,47.29,Mobile,Rain,Medium,2.6,0
TRIP-01221,2024-06-03,16,Taxi,Airport,7.31,26.6,2,40.23,1.83,42.06,Card,Clear,Low,4.7,0
TRIP-01222,2024-05-24,3,Taxi,Downtown,7.95,18.0,2,35.56,2.45,38.01,Card,Clear,Low,3.1,0
TRIP-01223,2024-12-05,22,RideShare,Suburb,11.77,36.1,1,39.5,1.16,40.66,Cash,Clear,Low,0.7,0
TRIP-01224,2024-05-23,11,Metro,Downtown,8.63,59.4,2,8.67,2.71,11.38,Card,Fog,High,8.4,1
TRIP-01225,2024-10-26,20,Taxi,Suburb,23.66,103.3,1,91.75,0.47,92.23,Cash,Clear,High,3.9,0
TRIP-01226,2024-03-04,19,RideShare,Downtown,6.26,23.1,1,24.37,2.2,26.57,Card,Clear,Low,0.0,0
TRIP-01227,2024-10-01,10,Bus,Suburb,17.1,57.1,30,14.92,2.49,17.41,Card,Heat,Medium,2.9,0
TRIP-01228,2024-07-30,23,Bus,Airport,18.48,74.9,13,26.33,2.7,29.03,Card,Heat,Low,2.4,0
TRIP-01229,2024-02-21,18,RideShare,Suburb,6.33,25.0,2,19.13,0.28,19.41,Card,Clear,Low,2.6,0
TRIP-01230,2024-04-14,1,Taxi,Airport,14.87,68.2,1,85.9,3.65,89.54,Card,Heat,Medium,6.5,1
TRIP-01231,2024-11-25,16,Taxi,Coastal,15.1,53.0,1,69.46,0.95,70.41,Cash,Clear,Low,5.0,0
TRIP-01232,2024-12-25,23,Bus,Suburb,14.04,46.6,35,14.64,0.99,15.63,Mobile,Heat,Low,2.3,0
TRIP-01233,2024-04-04,15,Taxi,Industrial,5.77,25.5,2,19.55,0.06,19.61,Cash,Clear,Medium,2.2,0
TRIP-01234,2024-04-16,20,Metro,Downtown,14.22,45.3,3,14.46,0.49,14.95,Mobile,Clear,Medium,0.4,0
TRIP-01235,2024-08-26,22,Taxi,Airport,5.33,26.3,1,27.77,0.26,28.04,Card,Heat,Medium,1.7,0
TRIP-01236,2024-05-01,16,Taxi,Downtown,8.66,37.8,1,39.72,3.72,43.44,Card,Clear,Medium,1.3,0
TRIP-01237,2024-07-12,7,Taxi,Airport,7.87,27.4,1,42.14,4.3,46.44,Card,Fog,Medium,9.1,1
TRIP-01238,2024-02-16,8,Bus,Suburb,15.57,49.5,6,16.14,2.94,19.08,Mobile,Clear,Medium,3.8,0
TRIP-01239,2024-02-07,19,Taxi,Industrial,6.51,29.5,3,22.98,0.44,23.42,Card,Clear,Medium,3.5,0
TRIP-01240,2024-09-26,21,Taxi,Suburb,7.36,29.8,1,29.07,1.93,31.0,Cash,Heat,High,14.0,1
TRIP-01241,2024-04-01,12,RideShare,Suburb,5.91,12.8,1,20.28,2.18,22.46,Mobile,Clear,Low,0.3,0
TRIP-01242,2024-08-05,6,Taxi,Downtown,6.1,15.4,2,27.35,0.39,27.74,Cash,Heat,Medium,0.4,0
TRIP-01243,2024-02-12,2,Bus,Downtown,16.79,70.6,29,21.84,1.08,22.92,Card,Heat,Low,2.0,0
TRIP-01244,2024-04-06,2,Taxi,Industrial,3.36,10.6,3,10.22,4.23,14.45,Card,Clear,Medium,1.9,0
TRIP-01245,2024-10-09,7,Bus,Downtown,11.27,31.0,35,17.59,3.97,21.57,Mobile,Clear,Medium,1.1,0
TRIP-01246,2024-04-25,0,Taxi,Downtown,6.04,23.6,2,25.87,2.46,28.34,Card,Clear,High,9.2,1
TRIP-01247,2024-06-07,20,Metro,Coastal,16.8,84.9,4,17.0,4.63,21.62,Card,Clear,High,2.6,0
TRIP-01248,2024-03-14,9,Taxi,Coastal,9.2,30.2,1,42.42,3.47,45.89,Card,Clear,Medium,0.7,0
TRIP-01249,2024-11-08,10,RideShare,Suburb,9.4,21.7,1,30.72,2.18,32.9,Card,Clear,Low,0.3,0
TRIP-01250,2024-03-11,14,RideShare,Airport,4.36,24.5,1,19.62,2.51,22.13,Card,Fog,High,5.9,1
TRIP-01251,2024-10-20,17,Taxi,Industrial,5.46,19.2,3,18.33,1.64,19.97,Card,Clear,Low,1.4,0
TRIP-01252,2024-04-02,5,Taxi,Downtown,3.5,13.0,1,14.61,3.09,17.71,Mobile,Rain,Medium,14.4,1
TRIP-01253,2024-12-06,1,Taxi,Airport,4.05,20.8,2,22.98,2.77,25.75,Card,Clear,High,0.8,0
TRIP-01254,2024-11-15,1,Metro,Airport,7.11,28.6,5,9.82,1.05,10.88,Cash,Clear,Medium,2.4,0
TRIP-01255,2024-09-21,8,Taxi,Coastal,7.93,30.9,2,35.72,4.99,40.71,Card,Clear,Medium,1.5,0
TRIP-01256,2024-01-07,0,RideShare,Coastal,13.59,31.4,1,51.46,1.62,53.07,Cash,Clear,Low,1.5,0
TRIP-01257,2024-08-06,17,Metro,Suburb,9.98,34.5,1,5.99,0.11,6.1,Card,Rain,Low,7.8,1
TRIP-01258,2024-02-17,17,RideShare,Downtown,3.42,21.0,3,16.08,4.45,20.53,Card,Clear,High,0.1,0
TRIP-01259,2024-06-07,17,Bus,Suburb,9.92,28.0,19,9.56,1.2,10.76,Card,Fog,Low,11.9,1
TRIP-01260,2024-02-19,9,RideShare,Downtown,14.04,75.4,2,55.05,1.28,56.33,Card,Fog,Medium,4.7,0
TRIP-01261,2024-03-14,10,Taxi,Coastal,7.38,24.8,1,32.89,1.69,34.58,Card,Clear,Medium,11.1,1
TRIP-01262,2024-08-19,15,Bus,Downtown,10.47,41.4,33,10.18,3.72,13.89,Mobile,Heat,Medium,3.5,0
TRIP-01263,2024-12-28,11,Taxi,Downtown,4.59,13.1,1,21.11,3.23,24.34,Card,Heat,Low,3.4,0
TRIP-01264,2024-11-18,7,RideShare,Industrial,3.21,11.8,3,9.52,3.7,13.22,Card,Clear,Low,1.3,0
TRIP-01265,2024-02-12,6,Bus,Suburb,9.83,27.5,32,9.48,0.2,9.67,Cash,Heat,Medium,6.6,1
TRIP-01266,2024-04-18,3,RideShare,Industrial,15.85,66.3,1,50.34,0.51,50.85,Cash,Clear,Medium,3.7,0
TRIP-01267,2024-10-24,3,Taxi,Downtown,1.53,6.1,3,5.21,1.21,6.42,Card,Rain,High,2.9,0
TRIP-01268,2024-05-28,2,RideShare,Industrial,10.01,26.5,3,30.59,0.09,30.68,Card,Clear,Medium,4.4,0
TRIP-01269,2024-12-20,0,Bus,Downtown,4.65,16.8,19,4.71,0.98,5.69,Cash,Fog,High,9.1,1
TRIP-01270,2024-03-02,0,Bus,Downtown,21.73,104.3,37,25.96,1.64,27.61,Cash,Fog,Low,3.7,0
TRIP-01271,2024-09-16,19,RideShare,Suburb,8.25,38.0,2,27.96,4.35,32.31,Card,Heat,Medium,1.8,0
TRIP-01272,2024-03-22,10,Bus,Downtown,16.58,75.6,23,19.86,3.29,23.15,Card,Heat,High,8.6,1
TRIP-01273,2024-05-31,1,Bus,Suburb,13.06,38.9,42,12.51,3.18,15.69,Mobile,Clear,High,1.8,0
